ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T18:46:26Z,bench-consumer-B,6.50,85.94,83.90,24.60,42.90,0.00
2026-05-09T18:46:26Z,bench-schema-registry,2.52,491.20,0.00,0.00,68.50,0.00
2026-05-09T18:46:26Z,bench-kafka,20.34,892.70,87.80,92.70,18.00,54.00
2026-05-09T18:46:33Z,bench-driver-B,105.11,24.50,8.57,66.10,0.00,0.00
2026-05-09T18:46:33Z,bench-consumer-B,8.77,86.59,88.70,26.00,42.90,0.00
2026-05-09T18:46:33Z,bench-schema-registry,0.98,491.90,0.00,0.00,68.50,0.00
2026-05-09T18:46:33Z,bench-kafka,145.43,957.70,92.20,97.30,18.00,54.10
2026-05-09T18:46:40Z,bench-driver-B,101.72,24.51,8.98,69.30,0.00,0.00
2026-05-09T18:46:40Z,bench-consumer-B,4.85,87.13,92.80,27.20,42.90,0.00
2026-05-09T18:46:40Z,bench-schema-registry,0.29,492.50,0.00,0.00,68.50,0.00
2026-05-09T18:46:40Z,bench-kafka,13.10,892.10,96.50,102.00,18.00,64.40
2026-05-09T18:46:48Z,bench-driver-B,101.99,24.75,9.39,72.30,0.00,0.00
2026-05-09T18:46:48Z,bench-consumer-B,4.25,87.61,96.50,28.30,42.90,0.00
2026-05-09T18:46:48Z,bench-schema-registry,1.81,498.70,0.00,0.00,68.50,0.00
2026-05-09T18:46:48Z,bench-kafka,11.69,890.90,101.00,107.00,18.00,64.50
2026-05-09T18:46:55Z,bench-driver-B,101.99,24.76,9.80,75.40,0.00,0.00
2026-05-09T18:46:55Z,bench-consumer-B,4.06,88.15,101.00,29.50,42.90,0.00
2026-05-09T18:46:55Z,bench-schema-registry,0.30,501.20,0.00,0.00,68.50,0.00
2026-05-09T18:46:55Z,bench-kafka,14.40,892.40,105.00,111.00,18.00,64.60
2026-05-09T18:47:02Z,bench-consumer-B,3.01,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:02Z,bench-schema-registry,1.76,508.90,0.00,0.00,68.50,0.00
2026-05-09T18:47:02Z,bench-kafka,36.31,928.20,109.00,115.00,18.00,74.60
2026-05-09T18:47:09Z,bench-consumer-B,0.04,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:09Z,bench-schema-registry,0.25,509.30,0.00,0.00,68.50,0.00
2026-05-09T18:47:09Z,bench-kafka,1.70,892.70,109.00,115.00,18.00,74.80
2026-05-09T18:47:16Z,bench-consumer-B,0.04,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:16Z,bench-schema-registry,0.33,511.70,0.00,0.00,68.50,0.00
2026-05-09T18:47:16Z,bench-kafka,2.45,893.00,109.00,115.00,18.00,74.90
2026-05-09T18:47:23Z,bench-consumer-B,0.03,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:23Z,bench-schema-registry,0.26,512.10,0.00,0.00,68.50,0.00
2026-05-09T18:47:23Z,bench-kafka,0.72,892.30,109.00,115.00,18.00,75.00
2026-05-09T18:47:30Z,bench-consumer-B,0.04,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:30Z,bench-schema-registry,0.28,512.40,0.00,0.00,68.50,0.00
2026-05-09T18:47:30Z,bench-kafka,0.87,892.80,109.00,115.00,18.00,75.10
2026-05-09T18:47:38Z,bench-consumer-B,0.13,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:38Z,bench-schema-registry,1.54,512.80,0.00,0.00,68.50,0.00
2026-05-09T18:47:38Z,bench-kafka,68.69,892.90,109.00,115.00,18.00,75.30
2026-05-09T18:47:45Z,bench-consumer-B,0.03,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:45Z,bench-schema-registry,0.39,513.00,0.00,0.00,68.50,0.00
2026-05-09T18:47:45Z,bench-kafka,0.94,893.70,109.00,115.00,18.00,75.40
2026-05-09T18:47:52Z,bench-consumer-B,0.05,88.75,105.00,30.90,42.90,0.00
2026-05-09T18:47:52Z,bench-schema-registry,1.96,514.20,0.00,0.00,68.50,0.00
2026-05-09T18:47:52Z,bench-kafka,1.77,893.80,109.00,115.00,18.00,75.50
2026-05-09T18:47:59Z,bench-kafka,13.89,893.30,109.00,115.00,18.00,75.80
